frozen_vehicle_structure,map,source_path_local,frozen_path_repo,route_file_sha256,route_input_hash_local,vehicle_profile_id,vehicle_profile_fingerprint,identity_evidence,steer_ff_rad_second_dimension,route_length_m,point_count,file_size_bytes,npz_array_count,selection_reason
five_axis,cliff_1,E:\BaiduNetdiskDownload\使命召唤\OnSite-B-1150-Unified\five_axis\race_guidance_control\routes\five_axis_ay_v1_release\cliff_1.npz,analysis/data_freeze/ZYJisBoss/raw_samples/five_axis/cliff_1/cliff_1.npz,462f2eccac127d5d6d6302fd7cc0fd8ef9e64303518e3734d5649c96b48dc220,aa3ad5518e595ae77215f302185765a39274bbb7052fdf548966d43222f3d3ca,five_axis,6e898ff7ac46a2787fb81ecea16e0e5ca585cf290cccb00a7656cb178eb56053,explicit_profile_id,,135.01442997134257,677,85358,29,highest metadata completeness in vehicle-structure/map group
five_axis,cliff_2,E:\BaiduNetdiskDownload\使命召唤\OnSite-B-1150-Unified\five_axis\race_guidance_control\routes\five_axis_ay_v1_release\cliff_2.npz,analysis/data_freeze/ZYJisBoss/raw_samples/five_axis/cliff_2/cliff_2.npz,f8c1bcb1b1b4309faba8c590f874057054dbc909150ea54fd70a9383a1ae1008,0518d6a751cf1218ecb72ab3232ad4ad1510d0a556456ef4b5b71b374dd78c9c,five_axis,6e898ff7ac46a2787fb81ecea16e0e5ca585cf290cccb00a7656cb178eb56053,explicit_profile_id,,578.50258344054077,2894,412413,34,highest metadata completeness in vehicle-structure/map group
five_axis,cliff_3,C:\Users\zgz20\Desktop\代码\C-TURE\five_axis\race_guidance_control\routes\five_axis_ay_v1_release\cliff_3.npz,analysis/data_freeze/ZYJisBoss/raw_samples/five_axis/cliff_3/cliff_3.npz,e5f81602ec534784ead4d871b92ab70861234ee5220f9af1ef9c49c74b1ccc7e,df261a67248e21426b77629f55551d9fb9d46784c774c5ab64f5ed1962a64f2d,five_axis,ee1b968983f0d0d8305b5afc24afd9ea65d17027e1bebdab5f8bd2dae19edfc5,explicit_profile_id,10,230.24376357077125,1152,214544,40,highest metadata completeness in vehicle-structure/map group
five_axis,cliff_6,C:\Users\zgz20\Desktop\代码\C-TURE\five_axis\race_guidance_control\routes\five_axis_ay_v1_release\cliff_6.npz,analysis/data_freeze/ZYJisBoss/raw_samples/five_axis/cliff_6/cliff_6.npz,645e80adcac7aa0bac5f0b4bbc326471b06bd2e8691231d83a419e177d676970,81743eeeb880a828f46830b0288e05c1bcf8662bd072a94af0afebaa3f914cce,five_axis,6e898ff7ac46a2787fb81ecea16e0e5ca585cf290cccb00a7656cb178eb56053,explicit_profile_id,,273.69373471975672,1373,188882,34,highest metadata completeness in vehicle-structure/map group
five_axis,cross_1,E:\BaiduNetdiskDownload\使命召唤\OnSite-B-1150-Unified\five_axis\race_guidance_control\routes\five_axis_ay_v1_release\cross_1.npz,analysis/data_freeze/ZYJisBoss/raw_samples/five_axis/cross_1/cross_1.npz,473342c86fc55ee23fb1f1900ceff9c0ae1dee8c62e4d2c6a3ddea247109d56c,2986cf08cde5e2f94a066ab43c474053fb4ca45065ba21e4567b3e2f7e7ef0b4,five_axis,6e898ff7ac46a2787fb81ecea16e0e5ca585cf290cccb00a7656cb178eb56053,explicit_profile_id,,341.51992013111055,1709,172391,34,highest metadata completeness in vehicle-structure/map group
five_axis,cross_2,E:\BaiduNetdiskDownload\使命召唤\OnSite-B-1150-Unified\five_axis\race_guidance_control\routes\five_axis_ay_v1_release\cross_2.npz,analysis/data_freeze/ZYJisBoss/raw_samples/five_axis/cross_2/cross_2.npz,bb2dcffec0dc2d79bc03a94fd08394006478ca867c0178aa819d0b7c1c5ccd50,df571ccc3a421096c2ce0fb16fb5d2c52cb53c897b77763003aa3b221afba5ad,five_axis,3e0eeb09caeac59c6e1c436994f433858335149ae1880f382fb135d4df22a87b,explicit_profile_id,,342.73324472908132,1715,188067,34,highest metadata completeness in vehicle-structure/map group
five_axis,cross_4,C:\Users\zgz20\Desktop\代码\C-TURE\five_axis\race_guidance_control\routes\five_axis_ay_v1_release\cross_4.npz,analysis/data_freeze/ZYJisBoss/raw_samples/five_axis/cross_4/cross_4.npz,390aea71b9cc217dce928f47a93d75ce8d5741cf4af3ce6763159b955a27837f,e7c3044ac9a93e7a57ea13479247125b2ed55e357a41ab56a2dae70fb488c8af,five_axis,c55daff1b698d1f4e5430ac09daa62a4231411205564f579dcecdbf8da0aaefb,explicit_profile_id,10,292.16784799351518,1460,299909,40,highest metadata completeness in vehicle-structure/map group
five_axis,mounarea_1,E:\BaiduNetdiskDownload\使命召唤\OnSite-B-1150-Unified\five_axis\race_guidance_control\routes\five_axis_ay_v1_release\mounarea_1.npz,analysis/data_freeze/ZYJisBoss/raw_samples/five_axis/mounarea_1/mounarea_1.npz,8f44c9d01c3b5a478a73633a5022e8f19e2f4d3de3c50db8daf8d08cb2daeb2b,32240b6ea9abe878b05272a1d0d4e5b4cedd0d9cf3a368c61026f4717cfdcdc9,five_axis,3e0eeb09caeac59c6e1c436994f433858335149ae1880f382fb135d4df22a87b,explicit_profile_id,,918.89012136952567,4618,687649,34,highest metadata completeness in vehicle-structure/map group
five_axis,mounarea_2,E:\BaiduNetdiskDownload\使命召唤\OnSite-B-1150-Unified\five_axis\race_guidance_control\routes\five_axis_ay_v1_release\mounarea_2.npz,analysis/data_freeze/ZYJisBoss/raw_samples/five_axis/mounarea_2/mounarea_2.npz,c314263dc039c2057a63fc71c337cfdd6d2aec9b2489a352bacf4d53a7443bcd,a33b531d16472253115c7081dccab894170f6d6b8de845bbd3d6387e216536ee,five_axis,6e898ff7ac46a2787fb81ecea16e0e5ca585cf290cccb00a7656cb178eb56053,explicit_profile_id,,468.06913653804605,2342,385121,34,highest metadata completeness in vehicle-structure/map group
five_axis,narrow_1,E:\BaiduNetdiskDownload\使命召唤\OnSite-B-1150-Unified\five_axis\race_guidance_control\routes\five_axis_ay_v1_release\narrow_1.npz,analysis/data_freeze/ZYJisBoss/raw_samples/five_axis/narrow_1/narrow_1.npz,953a8b9da5119b94d1e1a610c40a815c29e72b69c25d2c011dbf101fc1ca35a5,2ea355f22960770a9403e57012e8c6da2502af53bb542b6eb9012163fa8d8ec0,five_axis,6e898ff7ac46a2787fb81ecea16e0e5ca585cf290cccb00a7656cb178eb56053,explicit_profile_id,,57.443906088938334,288,30709,36,highest metadata completeness in vehicle-structure/map group
